ENSEMBLE_GENE	GENE_SYMBOL	HUMAN_EXPR	APE_EXPR	FOLD_CHANGE	LOG2FC	WILCOX_STAT	P_T_TEST	P_PERM	P_WILCOX	FDR
ENSG00000228294	BMS1P17	0	14	0	-Inf	0	1.22570505702955e-05	0	4.17862594007353e-09	2.82418450148576e-07
ENSG00000255037	RP11-680G24.1	0	12.5	0	-Inf	0	3.07049952986525e-08	0	4.19359227065376e-09	2.82418450148576e-07
ENSG00000220447	RP1-276J11.2	0	22	0	-Inf	0	3.50551161577933e-07	0	4.20860622007418e-09	2.82418450148576e-07
ENSG00000234441	RP5-1108M17.5	0	13	0	-Inf	0	3.83664914276827e-08	0	4.21613109287464e-09	2.82418450148576e-07
ENSG00000255141	HNRNPA1P76	0	34	0	-Inf	0	2.36440020853795e-09	0	4.23877750101001e-09	2.82418450148576e-07
ENSG00000213787	RPL7AP38	0	11.5	0	-Inf	0	2.0716327602723e-08	0	4.23877750101001e-09	2.82418450148576e-07
ENSG00000213798	AC004129.9	0	11.5	0	-Inf	0	2.0716327602723e-08	0	4.23877750101001e-09	2.82418450148576e-07
ENSG00000234720	ATP5A1P8	0	16	0	-Inf	0	1.6974821596652e-06	0	4.23877750101001e-09	2.82418450148576e-07
ENSG00000234861	ATP5A1P6	0	16	0	-Inf	0	1.6974821596652e-06	0	4.23877750101001e-09	2.82418450148576e-07
ENSG00000279303	CH507-236L23.3	0	17	0	-Inf	0	4.08416545662089e-06	0	4.23877750101001e-09	2.82418450148576e-07
ENSG00000224653	RP11-548K12.10	0	13.5	0	-Inf	0	0.00307312938822958	0	4.23877750101001e-09	2.82418450148576e-07
ENSG00000249606	TRAPPC2P7	0	45	0	-Inf	0	9.04744471247112e-11	0	4.25393509606773e-09	2.82418450148576e-07
ENSG00000234683	RP5-837I24.5	0	45	0	-Inf	0	4.04694949840822e-07	0	4.25393509606773e-09	2.82418450148576e-07
ENSG00000231484	RP11-548K12.12	0	18.5	0	-Inf	0	1.37875411310125e-06	0	4.25393509606773e-09	2.82418450148576e-07
ENSG00000270526	SNRPGP19	0	210	0	-Inf	0	1.49540510231279e-10	0	4.26153194004287e-09	2.82418450148576e-07
ENSG00000268391	RP11-241F15.6	0	28	0	-Inf	0	5.21539288584063e-08	0	4.26153194004287e-09	2.82418450148576e-07
ENSG00000278182	CH17-262O2.2	0	58.5	0	-Inf	0	3.5200547934391e-06	0	4.26153194004287e-09	2.82418450148576e-07
ENSG00000232775	BMS1P18	0	14	0	-Inf	0	7.22381744923121e-06	0	4.26153194004287e-09	2.82418450148576e-07
ENSG00000258202	RP11-776A13.2	0	58	0	-Inf	0	9.07644045648567e-06	0	4.26153194004287e-09	2.82418450148576e-07
ENSG00000229707	SKP1P3	0	54	0	-Inf	0	1.36969156249137e-10	0	4.26914083705135e-09	2.82418450148576e-07
ENSG00000262461	SPDYE8P	0	24.5	0	-Inf	0	6.65338265192603e-08	0	4.26914083705135e-09	2.82418450148576e-07
ENSG00000260662	RP11-626K17.2	0	129.5	0	-Inf	0	2.989850541707e-12	0	4.27676180366871e-09	2.82418450148576e-07
ENSG00000252656	RN7SKP88	0	98	0	-Inf	0	8.23053923982712e-10	0	4.27676180366871e-09	2.82418450148576e-07
ENSG00000273591	7SK	0	98	0	-Inf	0	8.23053923982712e-10	0	4.27676180366871e-09	2.82418450148576e-07
ENSG00000277313	7SK	0	98	0	-Inf	0	8.23053923982712e-10	0	4.27676180366871e-09	2.82418450148576e-07
ENSG00000249444	RP11-93O17.1	0	129.5	0	-Inf	0	2.29110482120269e-07	0	4.27676180366871e-09	2.82418450148576e-07
ENSG00000213285	AC138031.1	0	29.5	0	-Inf	0	5.70045569172829e-06	0	4.27676180366871e-09	2.82418450148576e-07
ENSG00000172342	CSPG4P3Y	0	10.5	0	-Inf	0	1.02628988063999e-05	0	4.27676180366871e-09	2.82418450148576e-07
ENSG00000277146	RP11-557B9.1	0	22.5	0	-Inf	0	0.00029873513912097	0	4.27676180366871e-09	2.82418450148576e-07
ENSG00000237085	AC127391.3	0	129.5	0	-Inf	0	3.13183209852453e-12	0	4.28439485648957e-09	2.82418450148576e-07
ENSG00000241838	LA16c-3G11.7	0	31.5	0	-Inf	0	6.06912463132966e-09	0	4.28439485648957e-09	2.82418450148576e-07
ENSG00000227779	GS1-164F24.1	0	62	0	-Inf	0	2.44939008718947e-07	0	4.28439485648957e-09	2.82418450148576e-07
ENSG00000153684	GOLGA8F	0	35.5	0	-Inf	0	7.4266567600216e-07	0	4.28439485648957e-09	2.82418450148576e-07
ENSG00000227270	AC009963.4	0	24.5	0	-Inf	0	2.44758393279169e-06	0	4.28439485648957e-09	2.82418450148576e-07
ENSG00000237378	RP11-473M10.3	0	35.5	0	-Inf	0	0.00110743697992769	0	4.28439485648957e-09	2.82418450148576e-07
ENSG00000231423	RAB9AP5	0	286	0	-Inf	0	6.11837058050185e-12	0	4.29204001212744e-09	2.82418450148576e-07
ENSG00000218476	RP11-108N13.1	0	262.5	0	-Inf	0	2.12961947401988e-10	0	4.29204001212744e-09	2.82418450148576e-07
ENSG00000233445	RPL17P11	0	192	0	-Inf	0	3.02145654912353e-10	0	4.29204001212744e-09	2.82418450148576e-07
ENSG00000242153	OFD1P6Y	0	44.5	0	-Inf	0	1.61955207363773e-09	0	4.29204001212744e-09	2.82418450148576e-07
ENSG00000226217	RPL19P1	0	61.5	0	-Inf	0	4.63398887810867e-08	0	4.29204001212744e-09	2.82418450148576e-07
ENSG00000269458	CTD-2579N5.4	0	44.5	0	-Inf	0	5.279555833681e-05	0	4.29204001212744e-09	2.82418450148576e-07
ENSG00000251668	RP11-466P24.5	0	45.5	0	-Inf	0	5.42892484424558e-05	0	4.29204001212744e-09	2.82418450148576e-07
ENSG00000267433	CTD-2057D4.2	0	45.5	0	-Inf	0	5.42892484424558e-05	0	4.29204001212744e-09	2.82418450148576e-07
ENSG00000270960	RP11-366M4.18	0	99	0	-Inf	0	5.63321867731722e-05	0	4.29204001212744e-09	2.82418450148576e-07
ENSG00000233235	RP5-908D6.1	0	33	0	-Inf	0	0.000513586072530978	0	4.29204001212744e-09	2.82418450148576e-07
ENSG00000234566	RPL7AP71	0	1176	0	-Inf	0	1.14593788208282e-13	0	4.29969728721506e-09	2.82418450148576e-07
ENSG00000231480	SNRPGP13	0	90.5	0	-Inf	0	9.80089422483515e-11	0	4.29969728721506e-09	2.82418450148576e-07
ENSG00000257408	RP11-645C24.4	0	61	0	-Inf	0	5.37306216254471e-10	0	4.29969728721506e-09	2.82418450148576e-07
ENSG00000235378	MRPS10P1	0	443	0	-Inf	0	5.03095502352968e-09	0	4.29969728721506e-09	2.82418450148576e-07
ENSG00000234406	AC004129.7	0	306	0	-Inf	0	9.20163741361301e-07	0	4.29969728721506e-09	2.82418450148576e-07
ENSG00000236831	YME1L1P1	0	1394.5	0	-Inf	0	1.79772233646236e-06	0	4.29969728721506e-09	2.82418450148576e-07
ENSG00000258367	RP11-536C10.3	0	1397.5	0	-Inf	0	1.80303214601845e-06	0	4.29969728721506e-09	2.82418450148576e-07
ENSG00000213147	RPL23AP60	0	118.5	0	-Inf	0	2.72724560460499e-06	0	4.29969728721506e-09	2.82418450148576e-07
ENSG00000219814	XX-C2158C6.2	0	118.5	0	-Inf	0	2.72724560460499e-06	0	4.29969728721506e-09	2.82418450148576e-07
ENSG00000237743	FBP2P1	0	2229	0	-Inf	0	1.40004281500538e-05	0	4.29969728721506e-09	2.82418450148576e-07
ENSG00000254190	RP11-267M23.5	0	45.5	0	-Inf	0	4.86833917066427e-05	0	4.29969728721506e-09	2.82418450148576e-07
ENSG00000263729	RP11-746M1.8	0	45.5	0	-Inf	0	4.86833917066427e-05	0	4.29969728721506e-09	2.82418450148576e-07
ENSG00000271121	NUDT4P2	0	789.5	0	-Inf	0	7.76470606054041e-05	0	4.29969728721506e-09	2.82418450148576e-07
ENSG00000257721	RP11-536C10.2	0	47.5	0	-Inf	0	9.02369579193307e-05	0	4.29969728721506e-09	2.82418450148576e-07
ENSG00000259897	RP11-244B22.3	0	64	0	-Inf	0	9.4711221157847e-05	0	4.29969728721506e-09	2.82418450148576e-07
ENSG00000273709	RNU2-1	0	113.5	0	-Inf	0	0.00197560742329289	0	4.29969728721506e-09	2.82418450148576e-07
ENSG00000274062	RNU2-1	0	113.5	0	-Inf	0	0.00197560742329289	0	4.29969728721506e-09	2.82418450148576e-07
ENSG00000274432	RNU2-1	0	113.5	0	-Inf	0	0.00197560742329289	0	4.29969728721506e-09	2.82418450148576e-07
ENSG00000274585	RNU2-1	0	113.5	0	-Inf	0	0.00197560742329289	0	4.29969728721506e-09	2.82418450148576e-07
ENSG00000274862	RNU2-1	0	113.5	0	-Inf	0	0.00197560742329289	0	4.29969728721506e-09	2.82418450148576e-07
ENSG00000275219	RNU2-1	0	113.5	0	-Inf	0	0.00197560742329289	0	4.29969728721506e-09	2.82418450148576e-07
ENSG00000275616	RNU2-1	0	113.5	0	-Inf	0	0.00197560742329289	0	4.29969728721506e-09	2.82418450148576e-07
ENSG00000276596	RNU2-1	0	113.5	0	-Inf	0	0.00197560742329289	0	4.29969728721506e-09	2.82418450148576e-07
ENSG00000278591	RNU2-1	0	113.5	0	-Inf	0	0.00197560742329289	0	4.29969728721506e-09	2.82418450148576e-07
ENSG00000278774	U2	0	113.5	0	-Inf	0	0.00197560742329289	0	4.29969728721506e-09	2.82418450148576e-07
ENSG00000261181	RP11-467M13.2	0	12	0	-Inf	0	4.14797464264057e-08	0.001	4.23877750101001e-09	2.82418450148576e-07
ENSG00000240438	OFD1P5Y	0	66.5	0	-Inf	0	3.7020081045473e-10	0.001	4.29204001212744e-09	2.82418450148576e-07
ENSG00000261914	ABC7-42391500H16.2	0	118.5	0	-Inf	0	2.72724560460499e-06	0.001	4.29969728721506e-09	2.82418450148576e-07
ENSG00000279456	RP11-87H9.5	11	0	Inf	Inf	420	8.07435760369546e-07	0	5.94363800698946e-09	3.32196319901769e-07
ENSG00000224971	SUMO2P3	16	0	Inf	Inf	420	3.40511389473103e-10	0	6.00520646450589e-09	3.32196319901769e-07
ENSG00000231702	RP11-54O7.10	37	0	Inf	Inf	420	1.0814379551441e-09	0	6.08817695274549e-09	3.32196319901769e-07
ENSG00000273820	USP27X	68	0	Inf	Inf	420	5.70334689818587e-14	0	6.10907768035585e-09	3.32196319901769e-07
ENSG00000275654	RP11-435I10.6	0	11	0	-Inf	0	7.42562615370053e-08	0	6.10907768035585e-09	3.32196319901769e-07
ENSG00000240132	ETF1P2	13	0	Inf	Inf	420	1.84317735224863e-07	0	6.10907768035585e-09	3.32196319901769e-07
